Date,Weekly U.S. Field Production of Crude Oil  (Thousand Barrels per Day)
2-Sep-88,8147
9-Sep-88,8147
16-Sep-88,8147
23-Sep-88,8147
30-Sep-88,8147
7-Oct-88,8085
14-Oct-88,8085
21-Oct-88,8085
28-Oct-88,8085
4-Nov-88,8026
11-Nov-88,8026
18-Nov-88,8026
25-Nov-88,8026
2-Dec-88,8035
9-Dec-88,8035
16-Dec-88,8035
23-Dec-88,8035
30-Dec-88,8035
6-Jan-89,8021
13-Jan-89,8021
20-Jan-89,8021
27-Jan-89,8021
3-Feb-89,7965
10-Feb-89,7965
17-Feb-89,7965
24-Feb-89,7965
3-Mar-89,7921
10-Mar-89,7921
17-Mar-89,7921
24-Mar-89,7921
31-Mar-89,7921
7-Apr-89,7880
14-Apr-89,7880
21-Apr-89,7880
28-Apr-89,7880
5-May-89,7843
12-May-89,7843
19-May-89,7843
26-May-89,7843
2-Jun-89,7726
9-Jun-89,7726
16-Jun-89,7726
23-Jun-89,7726
30-Jun-89,7726
7-Jul-89,7622
14-Jul-89,7622
21-Jul-89,7622
28-Jul-89,7622
4-Aug-89,7662
11-Aug-89,7662
18-Aug-89,7662
25-Aug-89,7662
1-Sep-89,7662
8-Sep-89,7641
15-Sep-89,7641
22-Sep-89,7641
29-Sep-89,7641
6-Oct-89,7644
13-Oct-89,7644
20-Oct-89,7644
27-Oct-89,7644
3-Nov-89,7601
10-Nov-89,7601
17-Nov-89,7601
24-Nov-89,7601
1-Dec-89,7601
8-Dec-89,7565
15-Dec-89,7565
22-Dec-89,7565
29-Dec-89,7565
5-Jan-90,7512
12-Jan-90,7512
19-Jan-90,7512
26-Jan-90,7512
2-Feb-90,7399
9-Feb-90,7399
16-Feb-90,7399
23-Feb-90,7399
2-Mar-90,7411
9-Mar-90,7411
16-Mar-90,7411
23-Mar-90,7411
30-Mar-90,7411
6-Apr-90,7310
13-Apr-90,7310
20-Apr-90,7310
27-Apr-90,7310
4-May-90,7241
11-May-90,7241
18-May-90,7241
25-May-90,7241
1-Jun-90,7241
8-Jun-90,6981
15-Jun-90,6981
22-Jun-90,6981
29-Jun-90,6981
6-Jul-90,7130
13-Jul-90,7130
20-Jul-90,7130
27-Jul-90,7130
3-Aug-90,6971
10-Aug-90,6971
17-Aug-90,6971
24-Aug-90,6971
31-Aug-90,6971
7-Sep-90,6991
14-Sep-90,6991
