,Date,Month,Personal Consumption Expenditure (billions of usd),Core CPI (index 1982-1984=100),Unemployment (%),Supply (thousand barrels per day),Imports (thousand barrels per day),Production (thousand barrels per day),Price of Barrel (usd),Staggered Price of Barrel
70,1992-03-20,03-1992,4117.0,145.9,7.4,16415,5625,7324,19.1,19.09
71,1992-03-27,03-1992,4117.0,145.9,7.4,17621,5155,7283,19.09,19.73
72,1992-04-03,04-1992,4131.5,146.3,7.4,16782,5512,7327,19.73,20.43
73,1992-04-10,04-1992,4131.5,146.3,7.4,17783,6782,7277,20.43,20.06
74,1992-04-17,04-1992,4131.5,146.3,7.4,16008,5999,7353,20.06,20.06
75,1992-04-24,04-1992,4131.5,146.3,7.4,17152,5597,7238,20.06,20.63
76,1992-05-01,05-1992,4158.4,146.8,7.6,17639,5546,7235,20.63,20.86
77,1992-05-08,05-1992,4158.4,146.8,7.6,16020,6114,7248,20.86,20.8
78,1992-05-15,05-1992,4158.4,146.8,7.6,16476,5635,7160,20.8,20.49
79,1992-05-22,05-1992,4158.4,146.8,7.6,16030,7003,7205,20.49,21.98
80,1992-05-29,05-1992,4158.4,146.8,7.6,15455,5685,7219,21.98,22.38
81,1992-06-05,06-1992,4177.1,147.1,7.8,17005,5936,7240,22.38,22.35
82,1992-06-12,06-1992,4177.1,147.1,7.8,15377,6238,7228,22.35,22.26
83,1992-06-19,06-1992,4177.1,147.1,7.8,17251,6183,7218,22.26,22.68
84,1992-06-26,06-1992,4177.1,147.1,7.8,14912,5382,7194,22.68,22.03
85,1992-07-03,07-1992,4204.8,147.6,7.7,17100,5559,7221,22.03,21.48
86,1992-07-10,07-1992,4204.8,147.6,7.7,17503,7504,7125,21.48,21.58
87,1992-07-17,07-1992,4204.8,147.6,7.7,17614,6560,7144,21.58,21.95
88,1992-07-24,07-1992,4204.8,147.6,7.7,16546,6708,7095,21.95,21.95
89,1992-07-31,07-1992,4204.8,147.6,7.7,17100,6505,7059,21.95,21.34
90,1992-08-07,08-1992,4220.9,147.9,7.6,17319,6002,7124,21.34,21.18
91,1992-08-14,08-1992,4220.9,147.9,7.6,17517,7644,6990,21.18,21.39
